"","seq_id","Abudefduf","Acanthurus","Ammodytes","Anisotremus virginicus","Argyrosomus regius","Auxis","Balistes vetula","Caesio caerulaurea","Caesio cuning","Carcharhinus melanopterus","Carcharias taurus","Chiloscyllium griseum","Chiloscyllium punctatum","Chrysiptera cyanea","Clupea harengus","Clupeinae","Coris gaimard","Dicentrarchus labrax","Diodon","Epinephelus","Epinephelus lanceolatus","Euthynnus","Gadidae","Gadus","Ginglymostoma cirratum","Glaucostegus cemiculus","Gnathanodon speciosus","Grammistes sexlineatus","Gymnothorax funebris","Haemulon sciurus","Heniochus acuminatus","Heterodontus","Hippoglossus","Hypanus","Hypanus americanus","Hypophthalmichthys","Labroides dimidiatus","Lutjanus","Lutjanus kasmira","Lutjanus sebae","Megalops atlanticus","Megalops cyprinoides","Melanogrammus","Merluccius merluccius","Molva molva","Monodactylus argenteus","Naso","Naso elegans","Odonus niger","Orectolobus japonicus","Paracanthurus hepatus","Paranthias colonus","Platax","Pomacanthus maculosus","Pseudobalistes fuscus","Pseudocaranx dentex","Salmo salar","Sardina pilchardus","Scomber","Scomber scombrus","Siganus","Stegostoma tigrinum","Thalassoma","Trachinotus blochii","Trachinotus rhodopus","Trachurus trachurus","Trisopterus minutus","Acanthurus dussumieri","Acanthurus leucosternon","Acanthurus nigrofuscus","Acanthurus thompsoni","Alca torda","Alopias vulpinus","Ammodytes marinus","Ammodytes tobianus","Amphiprion","Anampses caeruleopunctatus","Anarrhichthys ocellatus","Anguilla anguilla","Anoplopoma fimbria","Antennatus tuberosus","Arenaria interpres","Atherina boyeri","Atherinopsis californiensis","Azurina lepidolepis","Balistapus undulatus","Belone belone","Bodianus bilunulatus","Bodianus pulcher","Brachyistius frenatus","Caesio","Caesio varilineata","Callionymus lyra","Calotomus","Cantherhines dumerilii","Caranx","Caranx crysos","Caretta caretta","Centropyge multispinis","Cephalopholis sexmaculata","Chaetodon","Chelidonichthys","Chelon","Chelon auratus","Chirolophis japonicus","Chlorophthalmus agassizi","Chromis weberi","Ciliata mustela","Ciliata septentrionalis","Cirrhitichthys oxycephalus","Citharichthys sordidus","Citharichthys stigmaeus","Clinocottus recalvus","Columba livia","Columba palumbus","Conger conger","Coris caudimacula","Coryphoblennius galerita","Crossorhombus valderostratus","Ctenochaetus binotatus","Ctenolabrus rupestris","Cyclopterus lumpus","Cyclothone alba","Cymatogaster aggregata","Decapterus","Diplodus sargus","Echiichthys vipera","Embiotoca jacksoni","Engraulis mordax","Esselenichthys carli","Gadiculus argenteus","Gadus morhua","Gasterosteus aculeatus","Girella nigricans","Gobio gobio","Gobius niger","Gobius paganellus","Gobiusculus flavescens","Gymnammodytes semisquamatus","Gymnothorax melatremus","Gymnothorax nudivomer","Halichoeres californicus","Halichoeres cosmetus","Heterostichus rostratus","Himantura uarnak","Kyphosus","Labrus bergylta","Labrus mixtus","Lamna ditropis","Larus","Larus occidentalis","Limanda","Liparis montagui","Liparis mucosus","Lipophrys pholis","Lutjanus argentimaculatus","Lutjanus bohar","Lutjanus fulviflamma","Megalaspis cordyla","Melichthys","Micrenophrys lilljeborgii","Micromesistius poutassou","Micrometrus aurora","Micrometrus minimus","Mola mola","Mulloidichthys","Mus musculus","Myliobatis californica","Myoxocephalus scorpius","Myripristis","Myripristis kuntee","Naso lopezi","Nerophis ophidion","Oncorhynchus mykiss","Ophiodon elongatus","Oplegnathus fasciatus","Ostorhinchus apogonoides","Oxylebius pictus","Pagellus bogaraveo","Parablennius gattorugine","Paracaesio sordida","Parupeneus macronemus","Parupeneus pleurostigma","Pateobatis fai","Pateobatis jenkinsii","Pelecanus occidentalis","Pervagor janthinosoma","Phanerodon vacca","Phoca vitulina","Phocoena phocoena","Pholis gunnellus","Phoxinus phoxinus","Platichthys stellatus","Plectorhinchus flavomaculatus","Plectorhinchus orientalis","Plotosus lineatus","Pollachius","Pollachius pollachius","Pollachius virens","Pomacanthus imperator","Pomacentrus","Pomatoschistus microps","Pomatoschistus minutus","Pomatoschistus pictus","Porichthys notatus","Pseudanthias squamipinnis","Ptereleotris evides","Pterocaesio marri","Pycnochromis nigrurus","Rattus","Rhacochilus toxotes","Rhacochilus vacca","Rhynchobatus djiddensis","Salmo trutta","Sardinella maderensis","Sardinops sagax","Sargocentron diadema","Scarus","Scarus rubroviolaceus","Scophthalmus rhombus","Scorpaenichthys marmoratus","Sebastes","Sebastes gilli","Siganus luridus","Sillago sihama","Solea solea","Sparisoma cretense","Sparus aurata","Sphyraena jello","Spinachia spinachia","Sprattus sprattus","Squalus acanthias","Stenella attenuata","Stethojulis interrupta","Sufflamen","Sufflamen chrysopterum","Sufflamen fraenatum","Symphodus bailloni","Symphodus melops","Syngnathus acus","Syngnathus rostellatus","Syngnathus typhle","Taeniurops","Taeniurops meyeni","Taurulus bubalis","Toxabramis swinhonis","Trachinocephalus myops","Triaenodon obesus","Trisopterus esmarkii","Trisopterus luscus","Tursiops aduncus","Uria aalge","Zalophus californianus","Zoarces viviparus","Acanthurus olivaceus","Arothron","Arothron hispidus","Balistoides conspicillum","Chaetodon auriga","Chromileptes altivelis","Chrysiptera","Diagramma","Gymnomuraena zebra","Gymnothorax flavimarginatus","Gymnothorax kidako","Hemitaurichthys","Hippocampus kuda","Holacanthus ciliaris","Parupeneus cyclostomus","Plectorhinchus vittatus","Pomacanthus","Scomberesox saurus","Zebrasoma","Zebrasoma desjardinii","Zebrasoma velifer","location_abbreviation","location","site.name","country","latitude","longitude","collection_date","type","via","preservation","replicate","PCR_primer_well","extraction","weight_range_mg","weight_g","weight_class","primer","time","sequence.run","Diver","Partnership","Main.Contact","ocean_basin","ices_ecor","ices_area","ices_ea","mp_id","gauze","richness"
"1","sample.10Ae60BLUE_MPEtB",1443,0,0,0,0,0,0,0,0,2934,1509,0,0,0,0,0,0,0,0,0,0,0,0,101,7091,0,90,0,0,0,0,0,0,0,5482,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,458,0,182,0,0,0,0,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BLUE","Blue Planet Aquarium","Ocean Exhibit, Blue Planet, Ellesmere Port","shark tank",NA,NA,"March 9, 2023","MP","soak","Et","B","10Ae","QBT","20-40",NA,"standard","elas02",60,2,NA,"Blue Planet Aquarium","Ela Johnson",NA,NA,NA,NA,"BPD_7","whole",12
"2","sample.10Be120BLUE_MPEtA",2335,0,0,176,0,0,0,0,0,8101,5847,0,141,0,234,0,0,0,0,0,0,0,0,0,812,0,1187,0,0,0,57,338,0,0,2005,0,0,0,208,0,84,88,0,23,0,0,0,0,0,0,0,118,0,0,0,293,21,0,374,0,0,0,0,1301,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BLUE","Blue Planet Aquarium","Ocean Exhibit, Blue Planet, Ellesmere Port","shark tank",NA,NA,"March 9, 2023","MP","soak","Et","A","10Be","QBT","20-40",NA,"standard","elas02",120,2,NA,"Blue Planet Aquarium","Ela Johnson",NA,NA,NA,NA,"BPD_8","whole",21
"3","sample.10Ce120BLUE_MPEtB",1118,0,0,166,0,0,0,0,0,418,12632,0,1772,0,0,0,0,0,0,0,0,0,0,0,176,37,241,0,0,0,0,12,0,0,700,0,0,0,70,0,56,0,0,0,0,0,0,0,0,0,0,20,0,0,0,166,0,0,135,10,7,6,0,372,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BLUE","Blue Planet Aquarium","Ocean Exhibit, Blue Planet, Ellesmere Port","shark tank",NA,NA,"March 9, 2023","MP","soak","Et","B","10Ce","QBT","20-40",NA,"standard","elas02",120,2,NA,"Blue Planet Aquarium","Ela Johnson",NA,NA,NA,NA,"BPD_8","whole",20
"4","sample.10De240BLUE_MPEtB",1286,0,32,121,0,0,0,0,0,993,4779,178,0,0,225,1320,0,12,0,0,694,14,0,9,1509,24,817,0,0,0,46,0,0,0,3760,0,0,0,190,184,0,0,304,10,0,0,0,0,0,0,0,70,0,0,0,189,76,48,753,19,0,250,0,482,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BLUE","Blue Planet Aquarium","Ocean Exhibit, Blue Planet, Ellesmere Port","shark tank",NA,NA,"March 9, 2023","MP","soak","Et","B","10De","QBT","20-40",NA,"standard","elas02",240,2,NA,"Blue Planet Aquarium","Ela Johnson",NA,NA,NA,NA,"BPD_9","whole",30
"5","sample.10Ee240BLUE_MPEtA",1855,0,14,211,0,0,0,34,0,1148,2605,0,113,0,201,664,0,0,0,0,0,0,0,19,514,323,922,0,0,0,0,109,0,0,3028,0,0,0,251,0,0,0,0,0,82,0,0,0,743,0,0,36,0,0,0,0,75,0,1830,0,0,108,0,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BLUE","Blue Planet Aquarium","Ocean Exhibit, Blue Planet, Ellesmere Port","shark tank",NA,NA,"March 9, 2023","MP","soak","Et","A","10Ee","QBT","20-40",NA,"standard","elas02",240,2,NA,"Blue Planet Aquarium","Ela Johnson",NA,NA,NA,NA,"BPD_9","whole",23
"6","sample.10FeBLUE_MPEtA_RA",530,0,0,9,0,0,0,0,0,44,335,0,0,0,0,0,0,0,0,0,0,0,0,0,52,18,6847,0,0,0,0,0,0,0,2695,0,0,0,11,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,105,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BLUE","Blue Planet Aquarium","Ocean Exhibit, Blue Planet, Ellesmere Port","dive2",NA,NA,"March 9, 2023","MP","SCUBA","Et","2A_RA","10Fe","QBT","20-40",NA,"standard","elas02",65,2,"","Blue Planet Aquarium","Ela Johnson",NA,NA,NA,NA,"BPD_1","whole",13
"7","sample.10GeBLUE_MPEtB_RB",494,0,0,52,0,0,14,0,0,84,1684,0,10,0,0,0,0,0,0,0,0,0,0,0,140,0,4693,0,0,0,0,7,0,0,15173,0,0,12,59,0,7,23,0,0,0,0,0,0,49,0,11,12,0,0,0,15,15,6,2246,0,0,22,0,2604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BLUE","Blue Planet Aquarium","Ocean Exhibit, Blue Planet, Ellesmere Port","dive2",NA,NA,"March 9, 2023","MP","SCUBA","Et","2B_RB","10Ge","QBT","20-40",NA,"standard","elas02",65,2,"","Blue Planet Aquarium","Ela Johnson",NA,NA,NA,NA,"BPD_1","whole",23
"8","sample.10HeBLUE_MPEtC_DA",300,0,0,26,0,0,0,0,0,1085,2326,0,0,30,0,0,0,0,0,0,10,0,0,0,359,27,3840,0,0,0,0,29,0,25,3126,0,0,0,13,509,6,0,0,0,0,0,0,0,25683,0,0,40,0,0,0,47,9,0,470,0,7,17,0,256,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BLUE","Blue Planet Aquarium","Ocean Exhibit, Blue Planet, Ellesmere Port","dive2",NA,NA,"March 9, 2023","MP","SCUBA","Et","2C_DA","10He","QBT","20-40",NA,"standard","elas02",65,2,"","Blue Planet Aquarium","Ela Johnson",NA,NA,NA,NA,"BPD_2","whole",24
"9","sample.11AeBLUE_MPEtD_DB",765,0,0,34,0,0,0,0,0,920,3664,14,30,49,39,0,0,0,0,31,0,0,0,0,453,9,1755,0,0,0,0,46,0,0,10805,0,0,0,72,16,11,20,0,0,0,11,0,0,73,0,0,66,0,0,0,69,9,0,1703,0,0,226,0,1068,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BLUE","Blue Planet Aquarium","Ocean Exhibit, Blue Planet, Ellesmere Port","dive2",NA,NA,"March 9, 2023","MP","SCUBA","Et","2D_DB","11Ae","QBT","20-40",NA,"standard","elas02",65,2,"","Blue Planet Aquarium","Ela Johnson",NA,NA,NA,NA,"BPD_2","whole",27
"10","sample.12G_ORKMPbA_kurt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1336,0,0,0,0,0,0,0,0,0,4474,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ORK","Orkney","SMS Brummer, Scapa Flow, Orkney","Scotland",58.896783,-3.1535,"November 16, 2022","MP","SCUBA","b","A_kurt","12G","QBT","20-40",NA,"standard","elas02",32,3,"Kurt","Halton Charters Ltd","Bob Halton","North Atlantic","Celtic Seas","4.a","Celtic Seas4.a","ORK_4","hott",5
