seq_id,type,sampletype1,sampletype2
sample.10Ae60BLUE_MPEtB,MP,sample,sample
sample.10Be120BLUE_MPEtA,MP,sample,sample
sample.10Ce120BLUE_MPEtB,MP,sample,sample
sample.10De240BLUE_MPEtB,MP,sample,sample
sample.10Ee240BLUE_MPEtA,MP,sample,sample
sample.10FeBLUE_MPEtA_RA,MP,sample,sample
sample.10GeBLUE_MPEtB_RB,MP,sample,sample
sample.10HeBLUE_MPEtC_DA,MP,sample,sample
sample.11AeBLUE_MPEtD_DB,MP,sample,sample
sample.11Be_EBMay_13extblank,extraction_blank,control,negative
sample.11Ce_EBJun_12extblank,extraction_blank,control,negative
sample.11EeBLUE_FBEt_fieldb,MP_FB,control,negative
sample.11Fe_negativePCRcontrol,negativePCR,control,negative
sample.8CeBLUE_eDNA_FBblank,eDNA_FB,control,negative
sample.8DeBLUE_eDNAA_bottle1,eDNA,sample,sample
sample.8EeBLUE_eDNAB_bottle2,eDNA,sample,sample
sample.8FeBLUE_eDNAC_bottle3,eDNA,sample,sample
sample.8GeBLUE_eDNAD_bottle4,eDNA,sample,sample
sample.8HeBLUE_MPEtA_RA,MP,sample,sample
sample.9AeBLUE_MPEtB_RB,MP,sample,sample
sample.9BeBLUE_MPEtC_DA,MP,sample,sample
sample.9CeBLUE_MPEtD_DB,MP,sample,sample
sample.9De10BLUE_MPEtA_,MP,sample,sample
sample.9Ee10BLUE_MPEtB_,MP,sample,sample
sample.9Fe30BLUE_MPEtA_,MP,sample,sample
sample.9Ge30BLUE_MPEtB_,MP,sample,sample
sample.9He60BLUE_MPEtA_,MP,sample,sample
