seq_id,type,sampletype1,sampletype2
sample.11De_EBJun_19extblank,extraction_blank,control,negative
sample.11Fe_negativePCRcontrol,negativePCR,control,negative
sample.6AeORK_eDNA_FBblank,eDNA_FB,control,negative
sample.6BeORK_eDNAA_bottle1,eDNA,sample,sample
sample.6CeORK_eDNAB_bottle2,eDNA,sample,sample
sample.6DeORK_eDNAC_bottle3,eDNA,sample,sample
sample.6EeORK_eDNAD_bottle4,eDNA,sample,sample
sample.6FeORK_MPEtA_kurt,MP,sample,sample
sample.6GeORK_MPEtB_mike,MP,sample,sample
sample.6HeORK_MPEtC_lisa,MP,sample,sample
sample.8AeORK_MPbB_mike,MP,sample,sample
sample.8BeORK_MPbC_lisa,MP,sample,sample
sample.12A_ORKMP_boatEtA,MP,sample,sample
sample.12B_ORKMP_boatEtB,MP,sample,sample
sample.12C_ORKMP_boatEtC,MP,sample,sample
sample.12D_ORKMP_boatbA,MP,sample,sample
sample.12E_ORKMP_boatbB,MP,sample,sample
sample.12F_ORKMP_boatbC,MP,sample,sample
sample.12G_ORKMPbA_kurt,MP,sample,sample
