seq_id,type,sampletype1,sampletype2
sample.4AtLIV_eDNA_FBblank,eDNA_FB,control,negative
sample.4BtLIV_eDNA_seA_bottle1,eDNA,sample,sample
sample.4CtLIV_eDNA_seB_bottle2,eDNA,sample,sample
sample.4DtLIV_eDNA_DeC_bottle3,eDNA,sample,sample
sample.4EtLIV_eDNA_DeD_bottle4,eDNA,sample,sample
sample.4FtLIV_MPEtA_Wendy,MP,sample,sample
sample.4GtLIV_MPEtB_Rosie,MP,sample,sample
sample.4Ht_positivePCRcontrol,positivePCR,control,positive
sample.5AtLIV_MPEtC_Cath,MP,sample,sample
sample.5BtLIV_MPbC_Cath,MP,sample,sample
sample.5CtLIV_MPbB_Rosie,MP,sample,sample
sample.5DtLIV_MPbA_Wendy,MP,sample,sample
sample.6HtNEW_MPEt1_unis,MP,sample,sample
sample.7AtNEW_MPb1_unis,MP,sample,sample
sample.7BtNEW_MPEt2_unis,MP,sample,sample
sample.7CtNEW_MPb2_unis,MP,sample,sample
sample.7DtNEW_MPEt3_unis,MP,sample,sample
sample.7EtNEW_MPb3_unis,MP,sample,sample
sample.7FtNEW_MPEt4_unis,MP,sample,sample
sample.7GtNEW_MPb4_unis,MP,sample,sample
sample.7HtNEW_MPEt5_unis,MP,sample,sample
sample.8AtNEW_MPb5_unis,MP,sample,sample
sample.8BtNEW_MPEt6_unis,MP,sample,sample
sample.8CtNEW_MPb6_unis,MP,sample,sample
sample.8Et_EBJun_12extblank,extraction_blank,control,negative
sample.8Ft_EBJun_13extblank,extraction_blank,control,negative
sample.8Gt_negativePCRcontrol,negativePCR,control,negative
sample.8HtLIV_FBEtblank,eDNA_FB,control,negative
