seq_id,type,sampletype1,sampletype2
sample.10A_SAtra1001,MP,sample,sample
sample.10B_SAtra1002,MP,sample,sample
sample.10C_SAtra1003,MP,sample,sample
sample.10D_SAtra10001,MP,sample,sample
sample.10E_SAtra10002,MP,sample,sample
sample.10F_SAtra10003,MP,sample,sample
sample.10G_SAtra50001,MP,sample,sample
sample.10H_SAtra50002,MP,sample,sample
sample.11A_SAtra50003,MP,sample,sample
sample.11B_SA_EB,extraction_blank,control,negative
sample.12H_positivePCR,positivePCR,control,positive
sample.6E_EB_2507,extraction_blank,control,negative
sample.7A_IRE_boatA_a,MP,sample,sample
sample.7B_IRE_boatA_b,MP,sample,sample
sample.7C_IRE_boatA_c,MP,sample,sample
sample.7D_CV_diveA_a,MP,sample,sample
sample.7E_CV_diveA_b,MP,sample,sample
sample.7F_CV_diveA_c,MP,sample,sample
sample.7G_CA_diveA_a,MP,sample,sample
sample.7H_CA_diveA_b,MP,sample,sample
sample.8A_CA_diveA_c,MP,sample,sample
sample.8B_RS_diveA_a,MP,sample,sample
sample.8C_RS_diveA_b,MP,sample,sample
sample.8D_RS_diveA_c,MP,sample,sample
sample.8E_SA_SL9FA_a,MP,sample,sample
sample.8F_SA_SL9FA_b,MP,sample,sample
sample.8G_SA_SL9FA_c,MP,sample,sample
sample.8H_SA_SL9MA_a,MP,sample,sample
sample.9A_SA_SL9MA_b,MP,sample,sample
sample.9B_SA_SL9MA_c,MP,sample,sample
sample.9C_SA_SL7F1A_a,MP,sample,sample
sample.9D_SA_SL7F1A_b,MP,sample,sample
sample.9E_SA_SL7F1A_c,MP,sample,sample
sample.9F_SA_SL7F2A_a,MP,sample,sample
sample.9G_SA_SL7F2A_b,MP,sample,sample
sample.9H_SA_SL7F2A_c,MP,sample,sample
