seq_id,type,sampletype,sampletype2
sample.1A_B_CLASNOR_Jul22,MP,sample,sample
sample.1B_B_CLASNOR_Jul22,MP,sample,sample
sample.1C_E_CLASNOR_Jul22,MP,sample,sample
sample.2A_B_CLASNOR_Jul22,MP,sample,sample
sample.2B_B_CLASNOR_Jul22,MP,sample,sample
sample.2C_E_CLASNOR_Jul22,MP,sample,sample
sample.3A_B_CLASNOR_Jul22,MP,sample,sample
sample.3B_B_CLASNOR_Jul22,MP,sample,sample
sample.3C_E_CLASNOR_Jul22,MP,sample,sample
sample.4A_B_CLASNOR_Jul22,MP,sample,sample
sample.2A_PLYM_Fi_Jul22,MP,sample,sample
sample.2B_PLYM_Fi_Jul22,MP,sample,sample
sample.2C_PLYM_Fi_Jul22,MP,sample,sample
sample.3A_PLYM_Fi_Jul22,MP,sample,sample
sample.3B_PLYM_Fi_Jul22,MP,sample,sample
sample.3C_PLYM_Fi_Jul22,MP,sample,sample
sample.4A_PLYM_Fi_Jul22,MP,sample,sample
sample.4B_PLYM_Fi_Jul22,MP,sample,sample
sample.4C_PLYM_Fi_Jul22,MP,sample,sample
sample.5A_PLYM_Fi_Jul22,MP,sample,sample
sample.5B_PLYM_Fi_Jul22,MP,sample,sample
sample.5C_PLYM_Fi_Jul22,MP,sample,sample
sample.6A_PLYM_Fi_Jul22,MP,sample,sample
sample.6B_PLYM_Fi_Jul22,MP,sample,sample
sample.6C_PLYM_Fi_Jul22,MP,sample,sample
sample.7A_PLYM_Fi_Jul22,MP,sample,sample
sample.7B_PLYM_Fi_Jul22,MP,sample,sample
sample.7C_PLYM_Fi_Jul22,MP,sample,sample
sample.8A_PLYM_Fi_Jul22,MP,sample,sample
sample.8B_PLYM_Fi_Jul22,MP,sample,sample
sample.8C_PLYM_Fi_Jul22,MP,sample,sample
sample.4B_B_CLAS_NOR_Jul22,MP,sample,sample
sample.4C_E_CLAS_NOR_Jul22,MP,sample,sample
sample.5A_B_CLAS_NOR_Jul22,MP,sample,sample
sample.5B_B_CLAS_NOR_Jul22,MP,sample,sample
sample.5C_E_CLAS_NOR_Jul22,MP,sample,sample
sample.6A_B_CLAS_NOR_Jul22,MP,sample,sample
sample.6B_B_CLAS_NOR_Jul22,MP,sample,sample
sample.pcr_negative_2_Jul22,negativePCR,control,negative
sample.pcr_positive_1_Jul22,positivePCR,control,positive
sample.pcr_positive_2_Jul22,positivePCR,control,positive
