seq_id,location_abbreviation,location,site name,country,latitude,longitude,collection_date,type,via,perservation,replicate,PCR_primer_well,extraction,weight_range_mg,weight_g,weight_class,primer,time,sequence run,Diver,Partnership,Main Contact
sample.1A,PLYM,Plymouth,"Mount Batten, Plymouth",England,50.358,-4.13165,"June 17, 2022",MP,snorkel,Et,2A,1A,QBT,20-40,0.25,standard,tele02,60,1,group,Seasearch,Fiona Crouch
sample.1B,PLYM,Plymouth,"Mount Batten, Plymouth",England,50.358,-4.13165,"June 17, 2022",MP,snorkel,Et,2B,1B,QBT,20-40,0.2,standard,tele02,60,1,group,Seasearch,Fiona Crouch
sample.1C,PLYM,Plymouth,"Mount Batten, Plymouth",England,50.358,-4.13165,"June 17, 2022",MP,snorkel,Et,2C,1C,QBT,20-40,0.4,standard,tele02,60,1,group,Seasearch,Fiona Crouch
sample.1D,PLYM,Plymouth,"Mount Batten, Plymouth",England,50.358,-4.13165,"June 17, 2022",MP,snorkel,Et,3A,1D,QBT,20-40,0.31,standard,tele02,60,1,group,Seasearch,Fiona Crouch
sample.1E,PLYM,Plymouth,"Mount Batten, Plymouth",England,50.358,-4.13165,"June 17, 2022",MP,snorkel,Et,3B,1E,QBT,20-40,0.27,standard,tele02,60,1,group,Seasearch,Fiona Crouch
sample.1F,PLYM,Plymouth,"Mount Batten, Plymouth",England,50.358,-4.13165,"June 17, 2022",MP,snorkel,Et,3C,1F,QBT,20-40,0.31,standard,tele02,60,1,group,Seasearch,Fiona Crouch
sample.1G,PLYM,Plymouth,"Mount Batten, Plymouth",England,50.358,-4.13165,"June 17, 2022",MP,snorkel,Et,4A,1G,QBT,20-40,0.21,standard,tele02,60,1,group,Seasearch,Fiona Crouch
sample.2A,PLYM,Plymouth,"Mount Batten, Plymouth",England,50.358,-4.13165,"June 17, 2022",MP,snorkel,Et,4B,2A,QBT,20-40,0.22,standard,tele02,60,1,group,Seasearch,Fiona Crouch
sample.2B,PLYM,Plymouth,"Mount Batten, Plymouth",England,50.358,-4.13165,"June 17, 2022",MP,snorkel,Et,4C,2B,QBT,20-40,0.36,standard,tele02,60,1,group,Seasearch,Fiona Crouch
sample.2C,DOR,Dorset,"South Beach 1, Studland Bay, Dorset",England,50.642283,-1.941017,"July 5, 2022",MP,SCUBA,Et,5A,2C,QBT,20-40,0.2,standard,tele02,77,1,group,Natural England,Sarah Meek
sample.2D,DOR,Dorset,"South Beach 1, Studland Bay, Dorset",England,50.642283,-1.941017,"July 5, 2022",MP,SCUBA,Et,5B,2D,QBT,20-40,0.26,standard,tele02,77,1,group,Natural England,Sarah Meek
sample.2E,DOR,Dorset,"South Beach 1, Studland Bay, Dorset",England,50.642283,-1.941017,"July 5, 2022",MP,SCUBA,Et,5C,2E,QBT,20-40,0.2,standard,tele02,77,1,group,Natural England,Sarah Meek
sample.2F,DOR,Dorset,"South Beach 1, Studland Bay, Dorset",England,50.642283,-1.941017,"July 5, 2022",MP,SCUBA,Et,6A,2F,QBT,20-40,0.28,standard,tele02,90,1,group,Natural England,Sarah Meek
sample.2G,DOR,Dorset,"South Beach 1, Studland Bay, Dorset",England,50.642283,-1.941017,"July 5, 2022",MP,SCUBA,Et,6B,2G,QBT,20-40,0.4,standard,tele02,90,1,group,Natural England,Sarah Meek
sample.2H,DOR,Dorset,"South Beach 1, Studland Bay, Dorset",England,50.642283,-1.941017,"July 5, 2022",MP,SCUBA,Et,6C,2H,QBT,20-40,0.21,standard,tele02,90,1,group,Natural England,Sarah Meek
sample.3A,DOR,Dorset,"South Beach 2, Studland Bay, Dorset",England,50.642444, -1.941361,"July 6, 2022",MP,SCUBA,Et,7A,3A,QBT,20-40,0.38,standard,tele02,73,1,group,Natural England,Sarah Meek
sample.3B,DOR,Dorset,"South Beach 2, Studland Bay, Dorset",England,50.642444, -1.941361,"July 6, 2022",MP,SCUBA,Et,7B,3B,QBT,20-40,0.22,standard,tele02,73,1,group,Natural England,Sarah Meek
sample.3C,DOR,Dorset,"South Beach 2, Studland Bay, Dorset",England,50.642444, -1.941361,"July 6, 2022",MP,SCUBA,Et,7C,3C,QBT,20-40,0.23,standard,tele02,73,1,group,Natural England,Sarah Meek
sample.3D,DOR,Dorset,"South Beach 2, Studland Bay, Dorset",England,50.642444, -1.941361,"July 6, 2022",MP,SCUBA,Et,8A,3D,QBT,20-40,0.38,standard,tele02,73,1,group,Natural England,Sarah Meek
sample.3E,DOR,Dorset,"South Beach 2, Studland Bay, Dorset",England,50.642444, -1.941361,"July 6, 2022",MP,SCUBA,Et,8B,3E,QBT,20-40,0.2,standard,tele02,73,1,group,Natural England,Sarah Meek
