final_name,category,category2
Abudefduf,inventory,inventory
Acanthurus,inventory,inventory
Acanthurus olivaceus,inventory,inventory
Arothron,inventory,inventory
Arothron hispidus,inventory,inventory
Balistapus undulatus,putative inventory,inventory
Balistoides conspicillum,inventory,inventory
Cephalopholis sexmaculata,putative inventory,inventory
Chaetodon,inventory,inventory
Chaetodon auriga,putative inventory,inventory
Chromileptes altivelis,putative inventory,inventory
Chrysiptera,inventory,inventory
Chrysiptera cyanea,inventory,inventory
Clupea harengus,food,food
Diagramma,putative inventory,inventory
Diodon,inventory,inventory
Gadidae,food,food
Gymnomuraena zebra,inventory,inventory
Gymnothorax flavimarginatus,inventory,inventory
Gymnothorax kidako,putative inventory,inventory
Hemitaurichthys,putative inventory,inventory
Holacanthus ciliaris,inventory,inventory
Labroides dimidiatus,inventory,inventory
Melichthys,inventory,inventory
Micromesistius poutassou,food,food
Myripristis,inventory,inventory
Naso elegans,putative inventory,inventory
Odonus niger,inventory,inventory
Paracanthurus hepatus,inventory,inventory
Parupeneus cyclostomus,inventory,inventory
Platax,inventory,inventory
Plectorhinchus vittatus,inventory,inventory
Pollachius virens,food,food
Pomacanthus,inventory,inventory
Pseudanthias squamipinnis,inventory,inventory
Scomber,food,food
Scomberesox saurus,food,food
Siganus,inventory,inventory
Thalassoma,inventory,inventory
Zebrasoma,inventory,inventory
Zebrasoma desjardinii,inventory,inventory
Zebrasoma velifer,putative inventory,inventory
Homo sapiens,human,human
