final_name,iucn
Anguilla anguilla,CR
Rhynchobatus djiddensis,CR
Ammodytes tobianus,DD
Brachyistius frenatus,DD
Engraulis mordax,DD
Solea solea,DD
Himantura uarnak,EN
Acanthurus dussumieri,LC
Acanthurus leucosternon,LC
Acanthurus nigrofuscus,LC
Acanthurus thompsoni,LC
Anampses caeruleopunctatus,LC
Anarrhichthys ocellatus,LC
Antennatus tuberosus,LC
Atherina boyeri,LC
Atherinopsis californiensis,LC
Azurina lepidolepis,LC
Balistapus undulatus,LC
Belone belone,LC
Bodianus bilunulatus,LC
Caesio varilineata,LC
Callionymus lyra,LC
Cantherhines dumerilii,LC
Caranx crysos,LC
Centropyge multispinis,LC
Cephalopholis sexmaculata,LC
Chelon auratus,LC
Chlorophthalmus agassizi,LC
Chromis weberi,LC
Ciliata mustela,LC
Ciliata septentrionalis,LC
Cirrhitichthys oxycephalus,LC
Citharichthys sordidus,LC
Citharichthys stigmaeus,LC
Clupea harengus,LC
Conger conger,LC
Coris caudimacula,LC
Coryphoblennius galerita,LC
Crossorhombus valderostratus,LC
Ctenochaetus binotatus,LC
Ctenolabrus rupestris,LC
Cyclothone alba,LC
Cymatogaster aggregata,LC
Dicentrarchus labrax,LC
Diplodus sargus,LC
Embiotoca jacksoni,LC
Gasterosteus aculeatus,LC
Girella nigricans,LC
Gnathanodon speciosus,LC
Gobio gobio,LC
Gobius niger,LC
Gobius paganellus,LC
Gobiusculus flavescens,LC
Gymnammodytes semisquamatus,LC
Gymnothorax melatremus,LC
Gymnothorax nudivomer,LC
Halichoeres californicus,LC
Halichoeres cosmetus,LC
Heterostichus rostratus,LC
Labroides dimidiatus,LC
Labrus bergylta,LC
Labrus mixtus,LC
Liparis montagui,LC
Lipophrys pholis,LC
Lutjanus argentimaculatus,LC
Lutjanus bohar,LC
Lutjanus fulviflamma,LC
Lutjanus kasmira,LC
Megalaspis cordyla,LC
Merluccius merluccius,LC
Micrenophrys lilljeborgii,LC
Myripristis kuntee,LC
Naso lopezi,LC
Nerophis ophidion,LC
Odonus niger,LC
Ostorhinchus apogonoides,LC
Oxylebius pictus,LC
Parablennius gattorugine,LC
Paracaesio sordida,LC
Parupeneus macronemus,LC
Parupeneus pleurostigma,LC
Pervagor janthinosoma,LC
Phanerodon vacca,LC
Phoxinus phoxinus,LC
Platichthys stellatus,LC
Plectorhinchus orientalis,LC
Pollachius pollachius,LC
Pomacanthus imperator,LC
Pomatoschistus microps,LC
Pomatoschistus minutus,LC
Pomatoschistus pictus,LC
Porichthys notatus,LC
Pseudanthias squamipinnis,LC
Ptereleotris evides,LC
Pterocaesio marri,LC
Pycnochromis nigrurus,LC
Rhacochilus vacca,LC
Salmo trutta,LC
Sardina pilchardus,LC
Sardinops sagax,LC
Sargocentron diadema,LC
Scarus rubroviolaceus,LC
Scomber scombrus,LC
Scophthalmus rhombus,LC
Siganus luridus,LC
Sillago sihama,LC
Sparisoma cretense,LC
Sparus aurata,LC
Spinachia spinachia,LC
Sprattus sprattus,LC
Stethojulis interrupta,LC
Sufflamen chrysopterum,LC
Sufflamen fraenatum,LC
Symphodus bailloni,LC
Symphodus melops,LC
Syngnathus acus,LC
Syngnathus rostellatus,LC
Syngnathus typhle,LC
Taurulus bubalis,LC
Trachinocephalus myops,LC
Trachinotus blochii,LC
Trisopterus esmarkii,LC
Trisopterus minutus,LC
Zoarces viviparus,LC
Alca torda,LC
Arenaria interpres,LC
Columba livia,LC
Columba palumbus,LC
Larus occidentalis,LC
Pelecanus occidentalis,LC
Uria aalge,LC
Lamna ditropis,LC
Myliobatis californica,LC
Mus musculus,LC
Phoca vitulina,LC
Stenella attenuata,LC
Zalophus californianus,LC
Ammodytes marinus,NE
Anoplopoma fimbria,NE
Chirolophis japonicus,NE
Clinocottus recalvus,NE
Cyclopterus lumpus,NE
Echiichthys vipera,NE
Esselenichthys carli,NE
Gadiculus argenteus,NE
Liparis mucosus,NE
Micromesistius poutassou,NE
Micrometrus aurora,NE
Micrometrus minimus,NE
Molva molva,NE
Myoxocephalus scorpius,NE
Oncorhynchus mykiss,NE
Ophiodon elongatus,NE
Oplegnathus fasciatus,NE
Pholis gunnellus,NE
Plectorhinchus flavomaculatus,NE
Plotosus lineatus,NE
Pollachius virens,NE
Rhacochilus toxotes,NE
Scorpaenichthys marmoratus,NE
Sebastes gilli,NE
Sphyraena jello,NE
Toxabramis swinhonis,NE
Trisopterus luscus,NE
Pagellus bogaraveo,NT
Salmo salar,NT
Tursiops aduncus,NT
Bodianus pulcher,VU
Gadus morhua,VU
Mola mola,VU
Sardinella maderensis,VU
Trachurus trachurus,VU
Alopias vulpinus,VU
Pateobatis fai,VU
Pateobatis jenkinsii,VU
Squalus acanthias,VU
Taeniurops meyeni,VU
Triaenodon obesus,VU
Phocoena phocoena,VU
Caretta caretta,VU
