id	blastDbid	blastEvalue	blastLength	blastPident	blastNident	blastScore	blastBitscore
dme1_000000003	2188144284;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Ammodytidae,g:Hyperoplus,s:Hyperoplus_immaculatus	2.08e-83	165	100.000	165	330	298
dme1_000000003	2018537073;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Ammodytidae,g:Ammodytes,s:Ammodytes_tobianus	2.08e-83	165	100.000	165	330	298
dme1_000000003	2452988784;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Ammodytidae,g:Hyperoplus,s:Hyperoplus_immaculatus	8.86e-82	165	99.394	164	325	294
dme1_000000003	2018537085;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Ammodytidae,g:Ammodytes,s:Ammodytes_tobianus	8.86e-82	165	99.394	164	325	294
dme1_000000003	2028741871;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Ammodytidae,g:Hyperoplus,s:Hyperoplus_lanceolatus	1.08e-80	165	98.788	163	320	289
dme1_000000003	1799624574;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Ammodytidae,g:Ammodytes,s:Ammodytes_tobianus	1.08e-80	165	98.788	163	320	289
dme1_000000003	1799624588;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Ammodytidae,g:Ammodytes,s:Ammodytes_marinus	1.08e-80	165	98.788	163	320	289
dme1_000000003	2500143734;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Ammodytidae,g:Ammodytes,s:Ammodytes_marinus	4.59e-79	165	98.182	162	315	285
dme1_000000003	948550323;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Ammodytidae,g:Ammodytes,s:Ammodytes_americanus	2.90e-75	165	96.364	159	300	271
dme1_000000003	2028741869;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Ammodytidae,g:Gymnammodytes,s:Gymnammodytes_semisquamatus	1.71e-65	160	93.125	149	265	240
dme1_000000007	CV312942;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	1.73e-84	167	100.000	167	334	302
dme1_000000007	CV311902;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	1.73e-84	167	100.000	167	334	302
dme1_000000007	CV311880;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	1.73e-84	167	100.000	167	334	302
dme1_000000007	CV311888;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	2.57e-82	168	99.405	167	327	296
dme1_000000007	CV312101;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	1.02e-74	167	95.808	160	299	270
dme1_000000007	2491777182;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Lampriformes,f:Regalecidae,g:Regalecus,s:Regalecus_glesne	4.09e-10	58	81.034	47	61	56.3
dme1_000000007	2491777182;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Lampriformes,f:Regalecidae,g:Regalecus,s:Regalecus_glesne	1.74e-08	42	85.714	36	54	50.0
dme1_000000007	4321424;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Lampriformes,f:Regalecidae,g:Regalecus,s:Regalecus_glesne	4.09e-10	55	81.818	45	60	55.4
dme1_000000007	4321424;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Lampriformes,f:Regalecidae,g:Regalecus,s:Regalecus_glesne	9.01e-06	39	84.615	33	44	41.0
dme1_000000007	2497635835;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Lampriformes,f:Regalecidae,g:Regalecus,s:Regalecus_glesne	4.09e-10	55	81.818	45	60	55.4
dme1_000000007	1898139754;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Osmeriformes,f:Osmeridae,g:Osmerus,s:Osmerus_eperlanus	4.98e-09	46	84.783	39	57	52.7
dme1_000000007	1898139754;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Osmeriformes,f:Osmeridae,g:Osmerus,s:Osmerus_eperlanus	1.10e-04	50	76.000	38	40	37.4
dme1_000000007	1391895006;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Scorpaeniformes,f:Psychrolutidae,g:Cottunculus,s:Cottunculus_thomsonii	1.74e-08	45	84.444	38	55	50.9
dme1_000000011	2018537052;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Moronidae,g:Dicentrarchus,s:Dicentrarchus_labrax	5.00e-85	168	100.000	168	336	304
dme1_000000011	1293099641;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Moronidae,g:Dicentrarchus,s:Dicentrarchus_labrax	1.10e-80	168	98.214	165	321	290
dme1_000000011	2557039348;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Centrarchidae,g:Lepomis,s:Lepomis_gibbosus	3.85e-42	169	82.249	139	179	162
dme1_000000011	749502688;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Percidae,g:Sander,s:Sander_lucioperca	1.64e-40	164	82.317	135	173	157
dme1_000000011	2557039329;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Centrarchidae,g:Lepomis,s:Lepomis_gibbosus	1.64e-40	169	81.657	138	173	157
dme1_000000011	2514521564;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Centrarchidae,g:Lepomis,s:Lepomis_gibbosus	1.64e-40	169	81.657	138	173	157
