id	blastDbid	blastEvalue	blastLength	blastPident	blastNident	blastScore	blastBitscore
dmt2_000000002	985565695;tax=k:Animalia,p:Chordata,c:Teleostei,o:Eupercaria/misc,f:Haemulidae,g:Plectorhinchus,s:Plectorhinchus_vittatus	1.02e-83	166	100.000	166	332	300
dmt2_000000002	2183321048;tax=k:Animalia,p:Chordata,c:Teleostei,o:Eupercaria/misc,f:Haemulidae,g:Plectorhinchus,s:Plectorhinchus_picus	4.36e-82	166	99.398	165	327	296
dmt2_000000002	2183321047;tax=k:Animalia,p:Chordata,c:Teleostei,o:Eupercaria/misc,f:Haemulidae,g:Plectorhinchus,s:Plectorhinchus_picus	5.31e-81	166	98.795	164	322	291
dmt2_000000002	985565699;tax=k:Animalia,p:Chordata,c:Teleostei,o:Eupercaria/misc,f:Haemulidae,g:Plectorhinchus,s:Plectorhinchus_lessonii	2.26e-79	166	98.193	163	317	287
dmt2_000000002	1996290023;tax=k:Animalia,p:Chordata,c:Teleostei,o:Eupercaria/misc,f:Haemulidae,g:Plectorhinchus,s:Plectorhinchus_chaetodonoides	2.26e-79	166	98.193	163	317	287
dmt2_000000002	906357300;tax=k:Animalia,p:Chordata,c:Teleostei,o:Eupercaria/misc,f:Haemulidae,g:Plectorhinchus,s:Plectorhinchus_lineatus	2.75e-78	166	97.590	162	312	282
dmt2_000000002	817597775;tax=k:Animalia,p:Chordata,c:Teleostei,o:Eupercaria/misc,f:Haemulidae,g:Plectorhinchus,s:Plectorhinchus_vittatus	9.60e-78	167	97.605	163	310	280
dmt2_000000002	1996290009;tax=k:Animalia,p:Chordata,c:Teleostei,o:Eupercaria/misc,f:Haemulidae,g:Diagramma,s:Diagramma_pictum	1.17e-76	166	96.988	161	307	278
dmt2_000000002	1293099953;tax=k:Animalia,p:Chordata,c:Teleostei,o:Eupercaria/misc,f:Haemulidae,g:Diagramma,s:Diagramma_melanacrum	1.17e-76	166	96.988	161	307	278
dmt2_000000002	1561111695;tax=k:Animalia,p:Chordata,c:Teleostei,o:Eupercaria/misc,f:Haemulidae,g:Diagramma,s:Diagramma_pictum	1.42e-75	166	96.386	160	302	273
dmt2_000000009	CV312942;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	2.96e-84	167	100.000	167	334	302
dmt2_000000009	CV311902;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	2.96e-84	167	100.000	167	334	302
dmt2_000000009	CV311880;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	2.96e-84	167	100.000	167	334	302
dmt2_000000009	CV311888;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	4.39e-82	168	99.405	167	327	296
dmt2_000000009	CV312101;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	1.75e-74	167	95.808	160	299	270
dmt2_000000009	1293099654;tax=k:Animalia,p:Chordata,c:Teleostei,o:Perciformes/Serranoidei,f:Epinephelidae,g:Cephalopholis,s:Cephalopholis_cyanostigma	2.00e-10	167	69.461	116	62	57.2
dmt2_000000009	2491777182;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Lampriformes,f:Regalecidae,g:Regalecus,s:Regalecus_glesne	6.98e-10	58	81.034	47	61	56.3
dmt2_000000009	2491777182;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Lampriformes,f:Regalecidae,g:Regalecus,s:Regalecus_glesne	2.97e-08	42	85.714	36	54	50.0
dmt2_000000009	4321424;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Lampriformes,f:Regalecidae,g:Regalecus,s:Regalecus_glesne	6.98e-10	55	81.818	45	60	55.4
dmt2_000000009	4321424;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Lampriformes,f:Regalecidae,g:Regalecus,s:Regalecus_glesne	1.54e-05	39	84.615	33	44	41.0
dmt2_000000009	2497635835;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Lampriformes,f:Regalecidae,g:Regalecus,s:Regalecus_glesne	6.98e-10	55	81.818	45	60	55.4
dmt2_000000009	985565695;tax=k:Animalia,p:Chordata,c:Teleostei,o:Eupercaria/misc,f:Haemulidae,g:Plectorhinchus,s:Plectorhinchus_vittatus	2.44e-09	42	88.095	37	59	54.5
dmt2_000000013	2150812411;tax=k:Animalia,p:Chordata,c:Teleostei,o:Anguilliformes,f:Muraenidae,g:Gymnothorax,s:Gymnothorax_kidako	3.55e-83	165	100.000	165	330	298
