id	blastDbid	blastEvalue	blastLength	blastPident	blastNident	blastScore	blastBitscore
dme2_000000002	378554505;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Salmoniformes,f:Salmonidae,g:Salmo,s:Salmo_salar	9.20e-86	170	100.000	170	340	307
dme2_000000002	194398795;tax=k:Animalia,p:Chordata,c:Teleostei,o:Salmoniformes,f:Salmonidae,g:Salmo,s:Salmo_salar	9.20e-86	170	100.000	170	340	307
dme2_000000002	194398793;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Salmoniformes,f:Salmonidae,g:Salmo,s:Salmo_salar	3.91e-84	170	99.412	169	335	303
dme2_000000002	194398793;tax=k:Animalia,p:Chordata,c:Teleostei,o:Salmoniformes,f:Salmonidae,g:Salmo,s:Salmo_salar	3.91e-84	170	99.412	169	335	303
dme2_000000002	194398794;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Salmoniformes,f:Salmonidae,g:Salmo,s:Salmo_salar	4.76e-83	170	99.412	169	331	299
dme2_000000002	194398794;tax=k:Animalia,p:Chordata,c:Teleostei,o:Salmoniformes,f:Salmonidae,g:Salmo,s:Salmo_salar	4.76e-83	170	99.412	169	331	299
dme2_000000002	1293099583;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Salmoniformes,f:Salmonidae,g:Salmo,s:Salmo_trutta	2.03e-81	170	98.235	167	325	294
dme2_000000002	378554491;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Salmoniformes,f:Salmonidae,g:Salmo,s:Salmo_salar	2.03e-81	170	98.235	167	325	294
dme2_000000002	1293099583;tax=k:Animalia,p:Chordata,c:Teleostei,o:Salmoniformes,f:Salmonidae,g:Salmo,s:Salmo_trutta	2.03e-81	170	98.235	167	325	294
dme2_000000002	378554491;tax=k:Animalia,p:Chordata,c:Teleostei,o:Salmoniformes,f:Salmonidae,g:Salmo,s:Salmo_salar	2.03e-81	170	98.235	167	325	294
dme2_000000003	CV312942;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	3.94e-84	167	100.000	167	334	302
dme2_000000003	CV311902;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	3.94e-84	167	100.000	167	334	302
dme2_000000003	CV311880;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	3.94e-84	167	100.000	167	334	302
dme2_000000003	CV311888;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	5.84e-82	168	99.405	167	327	296
dme2_000000003	CV312101;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	2.33e-74	167	95.808	160	299	270
dme2_000000003	2329468090;tax=k:Animalia,p:Chordata,c:Teleostei,o:Eupercaria/misc,f:Lutjanidae,g:Lutjanus,s:Lutjanus_analis	8.14e-17	172	70.930	122	86	78.8
dme2_000000003	7331230;tax=k:Animalia,p:Chordata,c:Teleostei,o:Eupercaria/misc,f:Lutjanidae,g:Lutjanus,s:Lutjanus_campechanus	9.92e-16	171	70.175	120	83	76.1
dme2_000000003	924251991;tax=k:Animalia,p:Chordata,c:Teleostei,o:Eupercaria/misc,f:Lutjanidae,g:Lutjanus,s:Lutjanus_peru	3.46e-15	172	70.349	121	81	74.3
