id
>othe_000000001 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=55118; species_name=Sardinops melanostictus; best_match={'db_elas02_fish_addhuman_clean_uniq': 'AB032554'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 41697}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Sardinops melanostictus; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=41697; species=41697; order_name=Clupeiformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 1.0}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Sardinops melanostictus'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Sardinops melanostictus']}; genus_name=Sardinops; family_name=Clupeidae; genus=28380; order=32446; 
>othe_000000004 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=28735; species_name=Elephantulus fuscipes; best_match={'db_elas02_fish_addhuman_clean_uniq': 'EU136157'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 483426}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Elephantulus fuscipes; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=483426; species=483426; order_name=Macroscelidea; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.9595375722543352}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Elephantulus fuscipes'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Elephantulus fuscipes']}; genus_name=Elephantulus; family_name=Macroscelididae; genus=28736; order=28734; 
>othe_000000021 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=8045; species_name=Trisopterus luscus; best_match={'db_elas02_fish_addhuman_clean_uniq': 'MN122935'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 27722}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Trisopterus luscus; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=27722; species=27722; order_name=Gadiformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.9583333333333334}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Trisopterus luscus'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Trisopterus luscus']}; genus_name=Trisopterus; family_name=Gadidae; genus=27721; order=8043; 
>othe_000000022 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=9604; species_name=Pan troglodytes; best_match={'db_elas02_fish_addhuman_clean_uniq': 'AC197159'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 9598}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Pan troglodytes; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=9598; species=9598; order_name=Primates; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.847953216374269}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Pan troglodytes'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Pan troglodytes']}; genus_name=Pan; family_name=Hominidae; genus=9596; order=9443; 
>othe_000000027 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=9527; species_name=Macaca mulatta; best_match={'db_elas02_fish_addhuman_clean_uniq': 'AC196864'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 9544}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Macaca mulatta; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=9544; species=9544; order_name=Primates; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.9113924050632911}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Macaca mulatta'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Macaca mulatta']}; genus_name=Macaca; family_name=Cercopithecidae; genus=9539; order=9443; 
>othe_000000038 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=7826; species_name=Scyliorhinus canicula; best_match={'db_elas02_fish_addhuman_clean_uniq': 'Y16067'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 7830}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Scyliorhinus canicula; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=7830; species=7830; order_name=Carcharhiniformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 1.0}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Scyliorhinus canicula'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Scyliorhinus canicula']}; genus_name=Scyliorhinus; family_name=Scyliorhinidae; genus=7829; order=30483; 
>othe_000000054 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=None; species_name=None; best_match={'db_elas02_fish_addhuman_clean_uniq': 'AB498070'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 7776}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'clade'}; scientific_name=Gnathostomata; match_count={'db_elas02_fish_addhuman_clean_uniq': 12634}; rank=clade; taxid=7776; species=None; order_name=None; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.6201117318435754}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Gnathostomata'}; species_list={'db_elas02_fish_addhuman_clean_uniq': []}; genus_name=None; family_name=None; genus=None; order=None; 
">othe_000000059 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=None; species_name=None; best_match={'db_elas02_fish_addhuman_clean_uniq': 'AP004412'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 1489845}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'suborder'}; scientific_name=Gadoidei; match_count={'db_elas02_fish_addhuman_clean_uniq': 32}; rank=suborder; taxid=1489845; species=None; order_name=Gadiformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.884393063583815}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Gadoidei'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Boreogadus saida', 'Arctogadus glacialis', 'Pollachius pollachius', 'Eleginus gracilis', 'Gadus macrocephalus', 'Microgadus proximus', 'Gadus ogac', 'Gadus chalcogrammus', 'Lota lota', 'Micromesistius poutassou', 'Pollachius virens', 'Gadus morhua']}; genus_name=None; family_name=None; genus=None; order=8043; "
">othe_000000062 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=None; species_name=None; best_match={'db_elas02_fish_addhuman_clean_uniq': 'FJ616315'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 1489908}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'clade'}; scientific_name=Ovalentaria; match_count={'db_elas02_fish_addhuman_clean_uniq': 12}; rank=clade; taxid=1489908; species=None; order_name=None; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.9028571428571428}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Ovalentaria'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Abudefduf notatus', 'Abudefduf septemfasciatus', 'Abudefduf sparoides', 'Abudefduf sordidus', 'Chromis cyanea', 'Abudefduf saxatilis', 'Chromis analis', 'Parma microlepis', 'Uaru amphiacanthoides', 'Abudefduf hoefleri', 'Azurina hirundo']}; genus_name=None; family_name=None; genus=None; order=None; "
">othe_000000064 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=8220; species_name=None; best_match={'db_elas02_fish_addhuman_clean_uniq': 'AF265399'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 497220}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'subfamily'}; scientific_name=Gobionellinae; match_count={'db_elas02_fish_addhuman_clean_uniq': 3}; rank=subfamily; taxid=497220; species=None; order_name=Gobiiformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.8947368421052632}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Gobionellinae'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Oligolepis acutipennis', 'Tridentiger radiatus']}; genus_name=None; family_name=Gobiidae; genus=None; order=1489878; "
>othe_000000066 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=8015; species_name=Salmo salar; best_match={'db_elas02_fish_addhuman_clean_uniq': 'AF133701'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 8030}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Salmo salar; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=8030; species=8030; order_name=Salmoniformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 1.0}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Salmo salar'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Salmo salar']}; genus_name=Salmo; family_name=Salmonidae; genus=8028; order=8006; 
