id	blastDbid	blastEvalue	blastLength	blastPident	blastNident	blastScore	blastBitscore
div1_000000001	CV312942;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	1.73e-84	167	100.000	167	334	302
div1_000000001	CV311902;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	1.73e-84	167	100.000	167	334	302
div1_000000001	CV311880;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	1.73e-84	167	100.000	167	334	302
div1_000000001	CV311888;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	2.57e-82	168	99.405	167	327	296
div1_000000001	CV312101;tax=k:Animalia,p:Chordata,c:Mammalia,o:Primates,f:Hominidae,g:Homo,s:Homo_sapiens	1.02e-74	167	95.808	160	299	270
div1_000000001	2491777182;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Lampriformes,f:Regalecidae,g:Regalecus,s:Regalecus_glesne	4.09e-10	58	81.034	47	61	56.3
div1_000000001	2491777182;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Lampriformes,f:Regalecidae,g:Regalecus,s:Regalecus_glesne	1.74e-08	42	85.714	36	54	50.0
div1_000000001	4321424;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Lampriformes,f:Regalecidae,g:Regalecus,s:Regalecus_glesne	4.09e-10	55	81.818	45	60	55.4
div1_000000001	4321424;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Lampriformes,f:Regalecidae,g:Regalecus,s:Regalecus_glesne	9.01e-06	39	84.615	33	44	41.0
div1_000000001	2497635835;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Lampriformes,f:Regalecidae,g:Regalecus,s:Regalecus_glesne	4.09e-10	55	81.818	45	60	55.4
div1_000000001	1898139754;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Osmeriformes,f:Osmeridae,g:Osmerus,s:Osmerus_eperlanus	4.98e-09	46	84.783	39	57	52.7
div1_000000001	1898139754;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Osmeriformes,f:Osmeridae,g:Osmerus,s:Osmerus_eperlanus	1.10e-04	50	76.000	38	40	37.4
div1_000000001	1391895006;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Scorpaeniformes,f:Psychrolutidae,g:Cottunculus,s:Cottunculus_thomsonii	1.74e-08	45	84.444	38	55	50.9
div1_000000002	2018537098;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Atheriniformes,f:Atherinidae,g:Atherina,s:Atherina_boyeri	8.80e-82	162	100.000	162	324	293
div1_000000002	297655394;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Atheriniformes,f:Atherinidae,g:Atherina,s:Atherina_boyeri	1.70e-65	162	92.593	150	264	239
div1_000000002	1293099600;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Atheriniformes,f:Atherinidae,g:Atherina,s:Atherina_boyeri	5.93e-65	161	92.547	149	262	237
div1_000000002	297655393;tax=k:Animalia,p:Chordata,c:Actinopterygii,o:Atheriniformes,f:Atherinidae,g:Atherina,s:Atherina_boyeri	7.23e-64	162	91.975	149	259	234
